Names,URLs,Prices,Ratings,ASIN
"SAMRAT Laptop Backpack, Separate Compartment to Keep Files & Folders || College, School, Office, Casual Multipurpose Backpack with 15.6"" Laptop  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2MjM2MDAxNDAzMjMzNTk4OjE2OTI3MzEyOTI6c3BfYXRmOjMwMDAzNjc3NDk4OTMzMjo6MDo6&url=%2FBackpack-Separate-Compartment-Folders-Multipurpose%2Fdp%2FB0CFHCPW7V%2Fref%3Dsr_1_1_sspa%3Fkeywords%3Dbags%26qid%3D1692731292%26sr%3D8-1-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,₹759,,B0CFHCPW7V
"SAMRAT Laptop Backpack, Separate Compartment to Keep Files & Folders | Padded Adjustable Shoulder Straps & Quick Access Pockets  ",https://www.amazon.in//sspa/click?ie=UTF8&spc=MTo2MjM2MDAxNDAzMjMzNTk4OjE2OTI3MzEyOTI6c3BfYXRmOjMwMDAzNjc3NDk4OTYzMjo6MDo6&url=%2FBackpack-Separate-Compartment-Adjustable-Shoulder%2Fdp%2FB0CFDSBXRY%2Fref%3Dsr_1_2_sspa%3Fkeywords%3Dbags%26qid%3D1692731292%26sr%3D8-2-spons%26sp_csd%3Dd2lkZ2V0TmFtZT1zcF9hdGY%26psc%3D1,₹699,,B0CFDSBXRY
Skybags Brat Black 46 Cms Casual Backpack  ,https://www.amazon.in//Skybags-Brat-Black-Casual-Backpack/dp/B08Z1HHHTD/ref=sr_1_3?keywords=bags&qid=1692731292&sr=8-3,₹669,4.1,B08Z1HHHTD
American Tourister Fizz Large Size 32 Ltrs Casual Backpack (BLACK)  ,https://www.amazon.in//American-Tourister-AMT-SCH-02/dp/B07CJCGM1M/ref=sr_1_4?keywords=bags&qid=1692731292&sr=8-4,"₹1,199",4.0,B07CJCGM1M
Half Moon Large 37L Laptop Bag Backpack for menं Women Boys and Girls Luggage Travel Bags with 17.3 inches Laptop Compartment & Rain Cover  ,https://www.amazon.in//Half-Moon-Backpack-Luggage-Compartment/dp/B09VCLZ3K4/ref=sr_1_5?keywords=bags&qid=1692731292&sr=8-5,₹849,3.9,B09VCLZ3K4
"Half Moon 35 Ltrs Water Resistant 15.6 inch Laptop Bag for Men/Backpack for Men, Navy Blue | Office Bag for Men/Office Bag for Women with Padded Laptop Compartment | Rain Cover & Reflective Strips  ",https://www.amazon.in//Half-Moon-Waterproof-Backpack-Students/dp/B085MHDJ93/ref=sr_1_6?keywords=bags&qid=1692731292&sr=8-6,₹649,3.9,B085MHDJ93
"Fur Jaden 55 LTR Rucksack Travel Backpack Bag for Trekking, Hiking with Shoe Compartment  ",https://www.amazon.in//Rucksack-Travel-Backpack-Trekking-Compartment/dp/B07YDGQQN5/ref=sr_1_7?keywords=bags&qid=1692731292&sr=8-7,₹849,4.3,B07YDGQQN5
Safari Seek 45 Ltrs Overnighter Expandable Travel Laptop Backpack  ,https://www.amazon.in//Safari-45L-21-OB-BLK/dp/B07BZ5VC4H/ref=sr_1_8?keywords=bags&qid=1692731292&sr=8-8,"₹2,139",4.5,B07BZ5VC4H
"FUR JADEN Anti Theft Number Lock Backpack Bag with 15.6 Inch Laptop Compartment, USB Charging Port & Organizer Pocket for Men Women Boys Girls  ",https://www.amazon.in//Number-Backpack-Compartment-Charging-Organizer/dp/B09VTDMRY7/ref=sr_1_9?keywords=bags&qid=1692731292&sr=8-9,₹679,4.0,B09VTDMRY7
TRUE HUMAN EMPEROR® Anti-Theft backpack With USB charging Port Laptop bag/Office bag/college bag/travel bag with anti -theft back pocket (LEGEND)  ,https://www.amazon.in//TRUE-HUMAN-Anti-Theft-backpack-charging/dp/B09QJ7ZF2Y/ref=sr_1_10?keywords=bags&qid=1692731292&sr=8-10,₹599,3.7,B09QJ7ZF2Y
